Suburb,Address,Rooms,Type,Method,Date,Distance from CBD,Postcode,Bedroom2,Bathroom,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,Landsize_winsorized,Price_winsorized,PricePerSquareMeter
Airport West,36 Roberts Rd,4,house,S,6/08/2016,13.5,3042.0,3.0,1.0,Moonee Valley,-37.7259,144.8792,Western Metropolitan,3464.0,597.0,785000.0,1314.9078726968173
Airport West,11 Harrington Rd,6,house,SP,7/05/2016,13.5,3042.0,6.0,3.0,Moonee Valley,-37.7239,144.8735,Western Metropolitan,3464.0,976.0,725000.0,742.827868852459
Airport West,2/252 Parer Rd,2,townhouse,S,7/05/2016,13.5,3042.0,2.0,1.0,Moonee Valley,-37.7216,144.871,Western Metropolitan,3464.0,110.0,450000.0,4090.909090909091
Airport West,3/19 Hart St,2,unit,S,7/11/2016,13.5,3042.0,2.0,1.0,Moonee Valley,-37.7298,144.8883,Western Metropolitan,3464.0,141.0,515000.0,3652.482269503546
Airport West,2/62 Clydesdale Rd,2,unit,S,10/09/2016,13.5,3042.0,2.0,1.0,Moonee Valley,-37.7234,144.8792,Western Metropolitan,3464.0,120.0,530000.0,4416.666666666667
Airport West,3 Deidre Ct,3,house,PI,10/09/2016,13.5,3042.0,3.0,1.0,Moonee Valley,-37.7249,144.8728,Western Metropolitan,3464.0,1063.0,895000.0,841.9567262464723
Airport West,13 Etzel St,3,house,S,10/12/2016,13.5,3042.0,3.0,1.0,Moonee Valley,-37.7217,144.8783,Western Metropolitan,3464.0,533.0,805000.0,1510.3189493433397
Airport West,1/43 Cameron St,3,unit,S,11/02/2017,13.5,3042.0,3.0,1.0,Moonee Valley,-37.7302,144.8855,Western Metropolitan,3464.0,265.0,752000.0,2837.735849056604
Airport West,145a Victory Rd,2,unit,S,13/08/2016,13.5,3042.0,2.0,1.0,Moonee Valley,-37.7177,144.8787,Western Metropolitan,3464.0,192.0,440000.0,2291.6666666666665
Airport West,241 Parer Rd,5,house,PI,14/05/2016,13.5,3042.0,3.0,2.0,Moonee Valley,-37.7248,144.8699,Western Metropolitan,3464.0,596.0,755000.0,1266.778523489933
Airport West,2/40 Earl St,3,townhouse,PI,15/10/2016,13.5,3042.0,3.0,2.0,Moonee Valley,-37.727,144.887,Western Metropolitan,3464.0,165.0,700000.0,4242.424242424242
Airport West,180 Parer Rd,3,house,S,16/04/2016,13.5,3042.0,3.0,1.0,Moonee Valley,-37.7186,144.876,Western Metropolitan,3464.0,971.0,830000.0,854.788877445932
Airport West,4/54 Hawker St,2,unit,S,16/07/2016,13.5,3042.0,2.0,1.0,Moonee Valley,-37.7218,144.8863,Western Metropolitan,3464.0,164.0,462500.0,2820.121951219512
Airport West,43 Hillside Gr,3,house,SP,16/07/2016,13.5,3042.0,3.0,2.0,Moonee Valley,-37.7269,144.8742,Western Metropolitan,3464.0,657.0,670000.0,1019.7869101978691
Airport West,174 Parer Rd,2,house,S,16/07/2016,13.5,3042.0,2.0,1.0,Moonee Valley,-37.7187,144.8765,Western Metropolitan,3464.0,612.0,675000.0,1102.9411764705883
Airport West,138 Victory Rd,3,house,S,16/07/2016,13.5,3042.0,3.0,2.0,Moonee Valley,-37.7173,144.8796,Western Metropolitan,3464.0,612.0,1042000.0,1702.6143790849674
Airport West,75 King St,3,house,S,17/09/2016,13.5,3042.0,3.0,1.0,Moonee Valley,-37.7231,144.8835,Western Metropolitan,3464.0,775.0,910000.0,1174.1935483870968
Airport West,6 Kittyhawk St,4,house,S,17/09/2016,13.5,3042.0,5.0,3.0,Moonee Valley,-37.7263,144.8679,Western Metropolitan,3464.0,531.0,773000.0,1455.743879472693
Airport West,478 Fullarton Rd,3,house,PI,18/03/2017,13.5,3042.0,3.0,3.0,Moonee Valley,-37.7285,144.8694,Western Metropolitan,3464.0,555.0,810000.0,1459.4594594594594
Airport West,144 Marshall Rd,3,house,S,18/03/2017,13.5,3042.0,3.0,2.0,Moonee Valley,-37.7164,144.8792,Western Metropolitan,3464.0,422.0,715000.0,1694.3127962085307
Airport West,106 Parer Rd,3,house,S,18/03/2017,13.5,3042.0,3.0,1.0,Moonee Valley,-37.7194,144.8827,Western Metropolitan,3464.0,614.0,790000.0,1286.6449511400651
Airport West,3/7 South Rd,3,townhouse,SP,18/06/2016,13.5,3042.0,2.0,2.0,Moonee Valley,-37.7231,144.8802,Western Metropolitan,3464.0,161.0,540000.0,3354.0372670807456
Airport West,37 North St,3,townhouse,SP,19/11/2016,13.5,3042.0,3.0,2.0,Moonee Valley,-37.72,144.8776,Western Metropolitan,3464.0,293.0,825000.0,2815.6996587030717
Airport West,10 Hilbert Rd,3,house,S,22/05/2016,13.5,3042.0,3.0,1.0,Moonee Valley,-37.7226,144.8733,Western Metropolitan,3464.0,579.0,685000.0,1183.0742659758205
Airport West,110 Halsey Rd,3,house,S,22/08/2016,13.5,3042.0,3.0,1.0,Moonee Valley,-37.7184,144.882,Western Metropolitan,3464.0,623.0,805000.0,1292.1348314606741
Airport West,2/13 North St,2,unit,S,22/08/2016,13.5,3042.0,2.0,1.0,Moonee Valley,-37.7202,144.8797,Western Metropolitan,3464.0,141.0,510000.0,3617.021276595745
Airport West,105a Victory Rd,3,house,S,22/08/2016,13.5,3042.0,3.0,2.0,Moonee Valley,-37.7181,144.8824,Western Metropolitan,3464.0,212.0,612000.0,2886.7924528301887
Airport West,117 Marshall Rd,3,house,S,23/04/2016,13.5,3042.0,3.0,1.0,Moonee Valley,-37.7169,144.8815,Western Metropolitan,3464.0,612.0,662000.0,1081.6993464052287
Airport West,34 Moorna Dr,4,house,S,24/09/2016,13.5,3042.0,4.0,3.0,Moonee Valley,-37.7263,144.869,Western Metropolitan,3464.0,532.0,978000.0,1838.345864661654
Airport West,33 North St,3,house,PI,25/02/2017,13.5,3042.0,3.0,1.0,Moonee Valley,-37.72,144.878,Western Metropolitan,3464.0,585.0,720000.0,1230.7692307692307
Airport West,49 Roberts Rd,4,house,S,27/11/2016,13.5,3042.0,4.0,1.0,Moonee Valley,-37.7261,144.8785,Western Metropolitan,3464.0,509.0,765000.0,1502.9469548133595
Airport West,85 Roberts Rd,4,house,S,27/11/2016,13.5,3042.0,4.0,2.0,Moonee Valley,-37.7256,144.8739,Western Metropolitan,3464.0,628.0,900000.0,1433.1210191082803
Albert Park,105 Kerferd Rd,2,house,S,3/09/2016,3.3,3206.0,2.0,1.0,Port Phillip,-37.8459,144.9555,Southern Metropolitan,3280.0,120.0,1275000.0,10625.0
Albert Park,85 Richardson St,2,house,S,3/09/2016,3.3,3206.0,2.0,1.0,Port Phillip,-37.845,144.9538,Southern Metropolitan,3280.0,159.0,1455000.0,9150.943396226416
Albert Park,112 Beaconsfield Pde,3,house,PI,4/03/2017,3.3,3206.0,3.0,2.0,Port Phillip,-37.8481,144.9499,Southern Metropolitan,3280.0,211.0,2850000.0,13507.109004739337
Albert Park,94 Graham St,3,house,S,4/03/2017,3.3,3206.0,3.0,2.0,Port Phillip,-37.8452,144.9488,Southern Metropolitan,3280.0,128.0,1850000.0,14453.125
Albert Park,396 Montague St,2,house,S,4/03/2017,3.3,3206.0,2.0,1.0,Port Phillip,-37.8431,144.9565,Southern Metropolitan,3280.0,130.0,1436000.0,11046.153846153846
Albert Park,75 Graham St,2,house,S,6/08/2016,3.3,3206.0,1.0,1.0,Port Phillip,-37.8444,144.9484,Southern Metropolitan,3280.0,147.0,1110000.0,7551.0204081632655
Albert Park,54 Brooke St,2,house,S,7/05/2016,3.3,3206.0,2.0,1.0,Port Phillip,-37.8405,144.9521,Southern Metropolitan,3280.0,167.0,1550000.0,9281.437125748504
Albert Park,104 Richardson St,4,house,S,7/05/2016,3.3,3206.0,4.0,2.0,Port Phillip,-37.8447,144.9523,Southern Metropolitan,3280.0,153.0,2300000.0,15032.679738562092
Albert Park,4a Mills St,3,townhouse,VB,7/11/2016,3.3,3206.0,3.0,2.0,Port Phillip,-37.8443,144.9598,Southern Metropolitan,3280.0,718.0,1550000.0,2158.774373259053
Albert Park,1 Moubray St,3,house,VB,7/11/2016,3.3,3206.0,3.0,2.0,Port Phillip,-37.8415,144.952,Southern Metropolitan,3280.0,132.0,1800000.0,13636.363636363636
Albert Park,29 Faussett St,2,house,S,10/09/2016,3.3,3206.0,2.0,1.0,Port Phillip,-37.8422,144.9554,Southern Metropolitan,3280.0,199.0,2120000.0,10653.266331658291
Albert Park,3 Herbert St,3,house,VB,10/09/2016,3.3,3206.0,3.0,1.0,Port Phillip,-37.8443,144.9579,Southern Metropolitan,3280.0,253.0,1800000.0,7114.624505928854
Albert Park,24 Kerferd Pl,3,house,S,10/09/2016,3.3,3206.0,3.0,2.0,Port Phillip,-37.8421,144.9571,Southern Metropolitan,3280.0,90.0,1800000.0,20000.0
Albert Park,44 Draper St,2,house,PI,10/12/2016,3.3,3206.0,2.0,1.0,Port Phillip,-37.8379,144.9539,Southern Metropolitan,3280.0,240.0,1810000.0,7541.666666666667
Albert Park,2 Dundas Pl,3,house,S,10/12/2016,3.3,3206.0,3.0,2.0,Port Phillip,-37.8415,144.9585,Southern Metropolitan,3280.0,177.0,2615000.0,14774.011299435027
Albert Park,23 Finlay St,5,house,S,10/12/2016,3.3,3206.0,5.0,2.0,Port Phillip,-37.8436,144.9557,Southern Metropolitan,3280.0,237.0,2100000.0,8860.759493670887
Albert Park,31 Richardson St,3,house,S,10/12/2016,3.3,3206.0,3.0,1.0,Port Phillip,-37.8422,144.94899999999996,Southern Metropolitan,3280.0,129.0,1300000.0,10077.519379844962
Albert Park,4a Gatehouse La,3,house,S,12/06/2016,3.3,3206.0,3.0,2.0,Port Phillip,-37.8451,144.9511,Southern Metropolitan,3280.0,533.0,1370000.0,2570.356472795497
Albert Park,60 Brooke St,2,house,S,12/11/2016,3.3,3206.0,2.0,1.0,Port Phillip,-37.8407,144.9523,Southern Metropolitan,3280.0,288.0,1000000.0,3472.222222222222
Albert Park,70 Barrett St,3,house,S,15/10/2016,3.3,3206.0,3.0,2.0,Port Phillip,-37.8445,144.9501,Southern Metropolitan,3280.0,228.0,2575000.0,11293.859649122807
Albert Park,65 Graham St,2,house,S,15/10/2016,3.3,3206.0,2.0,1.0,Port Phillip,-37.8443,144.9481,Southern Metropolitan,3280.0,149.0,1322500.0,8875.838926174496
Albert Park,364 Montague St,2,house,S,15/10/2016,3.3,3206.0,2.0,1.0,Port Phillip,-37.8424,144.9562,Southern Metropolitan,3280.0,141.0,1562500.0,11081.560283687943
Albert Park,86 Mills St,3,house,VB,16/04/2016,3.3,3206.0,3.0,2.0,Port Phillip,-37.847,144.9575,Southern Metropolitan,3280.0,211.0,2000000.0,9478.67298578199
Albert Park,129 Kerferd Rd,3,house,S,18/03/2017,3.3,3206.0,3.0,1.0,Port Phillip,-37.8468,144.9546,Southern Metropolitan,3280.0,209.0,1900000.0,9090.90909090909
Albert Park,97 Page St,3,house,S,18/03/2017,3.3,3206.0,3.0,2.0,Port Phillip,-37.8473,144.9551,Southern Metropolitan,3280.0,147.0,3010000.0,20476.190476190477
Albert Park,55 Withers St,4,house,VB,18/06/2016,3.3,3206.0,4.0,3.0,Port Phillip,-37.8467,144.9475,Southern Metropolitan,3280.0,327.0,2800000.0,8562.691131498472
Albert Park,10/140 Kerferd Rd,2,unit,S,22/05/2016,3.3,3206.0,2.0,1.0,Port Phillip,-37.846,144.9542,Southern Metropolitan,3280.0,533.0,647000.0,1213.8836772983113
Albert Park,55 Merton St,3,house,SP,23/04/2016,3.3,3206.0,2.0,1.0,Port Phillip,-37.8427,144.9546,Southern Metropolitan,3280.0,120.0,2100000.0,17500.0
Albert Park,49 Page St,3,house,PI,24/09/2016,3.3,3206.0,3.0,1.0,Port Phillip,-37.8461,144.9528,Southern Metropolitan,3280.0,238.0,2000000.0,8403.361344537816
Albert Park,13/52 Moubray St,1,unit,S,25/02/2017,3.3,3206.0,1.0,1.0,Port Phillip,-37.8421,144.9517,Southern Metropolitan,3280.0,533.0,442500.0,830.2063789868668
Albert Park,115 Page St,4,house,S,25/02/2017,3.3,3206.0,4.0,2.0,Port Phillip,-37.8477,144.9558,Southern Metropolitan,3280.0,330.0,3350000.0,14348.484848484848
Albert Park,32 Page St,2,house,S,25/02/2017,3.3,3206.0,2.0,1.0,Port Phillip,-37.846,144.9517,Southern Metropolitan,3280.0,136.0,1340000.0,9852.941176470587
Albert Park,34 Richardson St,3,house,S,25/02/2017,3.3,3206.0,3.0,1.0,Port Phillip,-37.8429,144.9493,Southern Metropolitan,3280.0,202.0,1801000.0,8915.841584158416
Albert Park,2b Dundas Pl,3,house,S,26/07/2016,3.3,3206.0,3.0,3.0,Port Phillip,-37.8415,144.9585,Southern Metropolitan,3280.0,533.0,1532000.0,2874.296435272045
Albert Park,22 Greig St,3,house,S,26/07/2016,3.3,3206.0,3.0,2.0,Port Phillip,-37.8413,144.95,Southern Metropolitan,3280.0,325.0,3350000.0,11553.846153846154
Albert Park,27 Barrett St,4,house,S,27/06/2016,3.3,3206.0,3.0,2.0,Port Phillip,-37.8434,144.9495,Southern Metropolitan,3280.0,183.0,2140000.0,11693.989071038251
Albert Park,44 Greig St,2,house,S,27/11/2016,3.3,3206.0,2.0,1.0,Port Phillip,-37.8416,144.9488,Southern Metropolitan,3280.0,162.0,1750000.0,10802.469135802468
Albert Park,6 Brooke St,2,house,S,28/05/2016,3.3,3206.0,2.0,1.0,Port Phillip,-37.8387,144.9519,Southern Metropolitan,3280.0,79.0,980000.0,12405.06329113924
Albert Park,227a Danks St,3,house,S,28/08/2016,3.3,3206.0,3.0,2.0,Port Phillip,-37.8488,144.9551,Southern Metropolitan,3280.0,152.0,2030000.0,13355.263157894737
Albert Park,17 Reed St,3,house,PI,28/08/2016,3.3,3206.0,3.0,2.0,Port Phillip,-37.8448,144.9453,Southern Metropolitan,3280.0,147.0,1740000.0,11836.734693877552
Albert Park,74 Bridport St,3,house,VB,30/07/2016,3.3,3206.0,3.0,3.0,Port Phillip,-37.8399,144.9577,Southern Metropolitan,3280.0,533.0,2800000.0,5253.28330206379
Albert Park,9 Durham St,1,house,S,30/07/2016,3.3,3206.0,1.0,1.0,Port Phillip,-37.8411,144.9497,Southern Metropolitan,3280.0,81.0,985000.0,12160.493827160493
Alphington,6 Smith St,4,house,S,3/09/2016,6.4,3078.0,3.0,2.0,Darebin,-37.7707,145.0318,Northern Metropolitan,2211.0,853.0,2000000.0,2344.6658851113716
Alphington,5/6 Yarralea St,3,house,S,3/09/2016,6.4,3078.0,3.0,2.0,Yarra,-37.7854,145.0325,Northern Metropolitan,2211.0,208.0,1110000.0,5336.538461538462
Alphington,136A Fulham Rd,3,house,S,4/03/2017,6.4,3078.0,3.0,2.0,Darebin,-37.7713,145.0279,Northern Metropolitan,2211.0,411.0,1492000.0,3630.170316301703
Alphington,44 Shiers St,4,house,S,8/10/2016,6.4,3078.0,4.0,2.0,Darebin,-37.7717,145.031,Northern Metropolitan,2211.0,599.0,1717500.0,2867.278797996661
Alphington,83 Fulham Rd,5,house,S,12/06/2016,6.4,3078.0,5.0,4.0,Darebin,-37.775,145.0268,Northern Metropolitan,2211.0,809.0,2840000.0,3510.5067985166875
Alphington,3/19 Harker St,2,unit,S,12/11/2016,6.4,3078.0,2.0,1.0,Darebin,-37.7791,145.0306,Northern Metropolitan,2211.0,88.0,525500.0,5971.590909090909
Alphington,4/2 Miller St,2,townhouse,S,12/11/2016,6.4,3078.0,2.0,2.0,Darebin,-37.7804,145.0308,Northern Metropolitan,2211.0,155.0,805000.0,5193.548387096775
Alphington,2/5 Yarana Rd,2,unit,S,12/11/2016,6.4,3078.0,2.0,1.0,Darebin,-37.7773,145.0314,Northern Metropolitan,2211.0,533.0,465000.0,872.4202626641651
Alphington,815 Heidelberg Rd,3,house,PI,15/10/2016,6.4,3078.0,3.0,3.0,Darebin,-37.78,145.0341,Northern Metropolitan,2211.0,686.0,2000000.0,2915.451895043732
Alphington,44 Naroon Rd,3,house,S,16/04/2016,6.4,3078.0,3.0,1.0,Darebin,-37.7755,145.0288,Northern Metropolitan,2211.0,592.0,1540000.0,2601.3513513513512
Alphington,3/98 Grange Rd,2,unit,S,18/03/2017,6.4,3078.0,2.0,1.0,Darebin,-37.7747,145.0264,Northern Metropolitan,2211.0,183.0,820000.0,4480.87431693989
Alphington,10 Bennett St,4,house,S,19/11/2016,6.4,3078.0,4.0,2.0,Darebin,-37.7743,145.0316,Northern Metropolitan,2211.0,606.0,1830000.0,3019.80198019802
Alphington,38 Bennett St,4,house,S,19/11/2016,6.4,3078.0,4.0,2.0,Darebin,-37.7723,145.0319,Northern Metropolitan,2211.0,575.0,2100000.0,3652.1739130434785
Alphington,2c Hamilton St,3,house,SP,22/05/2016,6.4,3078.0,3.0,1.0,Darebin,-37.7802,145.0243,Northern Metropolitan,2211.0,180.0,865000.0,4805.555555555556
Alphington,5/5 Yarana Rd,2,unit,VB,22/05/2016,6.4,3078.0,2.0,1.0,Darebin,-37.7773,145.0314,Northern Metropolitan,2211.0,533.0,390000.0,731.7073170731708
Alphington,7/7 Chandler Hwy,2,townhouse,SP,24/09/2016,6.4,3078.0,0.0,1.0,Yarra,-37.7848,145.025,Northern Metropolitan,2211.0,533.0,650000.0,1219.5121951219512
Alphington,1/14 Fulham Rd,2,unit,S,25/02/2017,6.4,3078.0,2.0,1.0,Darebin,-37.7805,145.0262,Northern Metropolitan,2211.0,533.0,512000.0,960.6003752345216
Alphington,22 Lowther St,3,house,S,27/06/2016,6.4,3078.0,3.0,1.0,Yarra,-37.7792,145.029,Northern Metropolitan,2211.0,979.0,1165000.0,1189.9897854954036
Alphington,11 Margaret Gr,4,house,SP,27/11/2016,6.4,3078.0,4.0,2.0,Yarra,-37.7844,145.0225,Northern Metropolitan,2211.0,556.0,1900000.0,3417.26618705036
Alphington,6 Naroon Rd,3,house,SP,28/08/2016,6.4,3078.0,3.0,0.0,Darebin,-37.7781,145.0284,Northern Metropolitan,2211.0,597.0,1485000.0,2487.4371859296484
Alphington,42 Shiers St,4,house,S,30/07/2016,6.4,3078.0,4.0,2.0,Darebin,-37.7719,145.0309,Northern Metropolitan,2211.0,589.0,1950000.0,3310.6960950764005
Altona,158 Queen St,3,house,VB,3/09/2016,13.8,3018.0,3.0,2.0,Hobsons Bay,-37.87,144.825,Western Metropolitan,5301.0,352.0,520000.0,1477.2727272727273
Altona,59 Bracken Gr,5,house,S,3/12/2016,13.8,3018.0,5.0,3.0,Hobsons Bay,-37.8721,144.8105,Western Metropolitan,5301.0,729.0,1525000.0,2091.906721536351
Altona,1/123 Blyth St,2,townhouse,S,4/02/2016,13.8,3018.0,2.0,1.0,Hobsons Bay,-37.8687,144.8197,Western Metropolitan,5301.0,292.0,720000.0,2465.753424657534
Altona,4 Blyth St,3,house,S,4/03/2017,13.8,3018.0,3.0,1.0,Hobsons Bay,-37.8693,144.8375,Western Metropolitan,5301.0,506.0,1120000.0,2213.4387351778655
Altona,20 Linnet St,4,house,PI,4/06/2016,13.8,3018.0,4.0,1.0,Hobsons Bay,-37.868,144.8154,Western Metropolitan,5301.0,655.0,780000.0,1190.8396946564885
